Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeTest,Chrome 63.0.3239.132,,2018-01-09 12:14:20,2018-01-09 12:18:02,3m - 41.515s,PASSED
,,,,,,
Test Cases/MQ_Smoke_Scenario/Air/1_CSR_Create_MQ_AIR,Chrome 63.0.3239.132,,2018-01-09 12:14:21,2018-01-09 12:15:44,1m - 23.321s,PASSED
new1.SignInIE.As,Chrome 63.0.3239.132,,2018-01-09 12:14:21,2018-01-09 12:14:46,24.837s,PASSED
fn.Create.mutiQuote,Chrome 63.0.3239.132,,2018-01-09 12:14:46,2018-01-09 12:14:48,2.389s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,Air Freight,2018-01-09 12:14:48,2018-01-09 12:14:48,0.175s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,Expedited   Premier  Value,2018-01-09 12:14:48,2018-01-09 12:14:49,0.144s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:14:49,2018-01-09 12:14:49,0.297s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:14:49,2018-01-09 12:14:49,0.470s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:14:49,2018-01-09 12:14:57,7.976s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:14:57,2018-01-09 12:15:00,3.233s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:15:00,2018-01-09 12:15:01,0.128s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:15:01,2018-01-09 12:15:01,0.113s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:15:01,2018-01-09 12:15:01,0.078s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:15:01,2018-01-09 12:15:01,0.088s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:15:01,2018-01-09 12:15:01,0.334s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:15:01,2018-01-09 12:15:04,2.388s,PASSED
fn.DragAndDropUnique.portCodesAir,Chrome 63.0.3239.132,,2018-01-09 12:15:04,2018-01-09 12:15:05,1.699s,PASSED
fn.Create.MQ_with_AgilityTariff,Chrome 63.0.3239.132,,2018-01-09 12:15:05,2018-01-09 12:15:23,17.285s,PASSED
Statement - MQ_No = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/MQ/QuoteInfoPage/getQuoteNo)),Chrome 63.0.3239.132,,2018-01-09 12:15:23,2018-01-09 12:15:23,0.158s,PASSED
Statement - err.println(MQ_No),Chrome 63.0.3239.132,,2018-01-09 12:15:23,2018-01-09 12:15:23,0.000s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:15:23,2018-01-09 12:15:26,3.179s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:15:26,2018-01-09 12:15:26,0.433s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:15:26,2018-01-09 12:15:27,0.381s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 12:15:27,2018-01-09 12:15:28,1.004s,PASSED
scrollToElement,Chrome 63.0.3239.132,,2018-01-09 12:15:28,2018-01-09 12:15:28,0.085s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:15:28,2018-01-09 12:15:31,3.109s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-09 12:15:31,2018-01-09 12:15:31,0.018s,PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-09 12:15:31,2018-01-09 12:15:31,0.015s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:15:31,2018-01-09 12:15:33,1.945s,PASSED
fn.Select.Customer,Chrome 63.0.3239.132,,2018-01-09 12:15:33,2018-01-09 12:15:37,4.089s,PASSED
fn.Submit_To.QuoteApprover,Chrome 63.0.3239.132,,2018-01-09 12:15:37,2018-01-09 12:15:43,5.838s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-09 12:15:43,2018-01-09 12:15:44,0.948s,PASSED
,,,,,,
Test Cases/MQ_Smoke_Scenario/FCL/1_CSR_Create_MQ_FCL,Chrome 63.0.3239.132,,2018-01-09 12:15:44,2018-01-09 12:16:47,1m - 2.721s,PASSED
new1.SignInIE.As,Chrome 63.0.3239.132,,2018-01-09 12:15:44,2018-01-09 12:15:54,9.604s,PASSED
fn.Create.mutiQuote,Chrome 63.0.3239.132,,2018-01-09 12:15:54,2018-01-09 12:15:56,1.899s,PASSED
fn.ValidateProduct.productType,Chrome 63.0.3239.132,,2018-01-09 12:15:56,2018-01-09 12:15:56,0.502s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:15:56,2018-01-09 12:16:03,6.877s,PASSED
fn.Search.multiple,Chrome 63.0.3239.132,,2018-01-09 12:16:03,2018-01-09 12:16:06,2.773s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:16:06,2018-01-09 12:16:06,0.205s,PASSED
selectOptionByLabel,Chrome 63.0.3239.132,,2018-01-09 12:16:06,2018-01-09 12:16:06,0.246s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:16:06,2018-01-09 12:16:06,0.111s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:16:06,2018-01-09 12:16:07,0.312s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:16:07,2018-01-09 12:16:09,2.573s,PASSED
fn.DragAndDropUnique.portCodesFCL,Chrome 63.0.3239.132,,2018-01-09 12:16:09,2018-01-09 12:16:10,1.172s,PASSED
fn.Create.MQ_with_AgilityTariff,Chrome 63.0.3239.132,,2018-01-09 12:16:10,2018-01-09 12:16:25,14.978s,PASSED
Statement - MQ_No = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/MQ/QuoteInfoPage/getQuoteNo)),Chrome 63.0.3239.132,,2018-01-09 12:16:25,2018-01-09 12:16:26,0.105s,PASSED
Statement - err.println(MQ_No),Chrome 63.0.3239.132,,2018-01-09 12:16:26,2018-01-09 12:16:26,0.000s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:16:26,2018-01-09 12:16:29,3.374s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-09 12:16:29,2018-01-09 12:16:29,0.441s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-01-09 12:16:29,2018-01-09 12:16:30,0.400s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-09 12:16:30,2018-01-09 12:16:31,1.032s,PASSED
scrollToElement,Chrome 63.0.3239.132,,2018-01-09 12:16:31,2018-01-09 12:16:31,0.086s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:16:31,2018-01-09 12:16:34,3.394s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-09 12:16:34,2018-01-09 12:16:34,0.019s,PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-09 12:16:34,2018-01-09 12:16:34,0.017s,PASSED
click,Chrome 63.0.3239.132,,2018-01-09 12:16:34,2018-01-09 12:16:36,1.864s,PASSED
fn.Select.Customer,Chrome 63.0.3239.132,,2018-01-09 12:16:36,2018-01-09 12:16:40,4.005s,PASSED
fn.Submit_To.QuoteApprover,Chrome 63.0.3239.132,,2018-01-09 12:16:40,2018-01-09 12:16:46,5.619s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-09 12:16:46,2018-01-09 12:16:47,0.845s,PASSED
,,,,,,
